,UNITID_P,INSTNM,City,State,men_total15,women_total15,FORCIB13,NONFOR13,RAPE14,RAPE15,FONDL14,FONDL15,STATR14,STATR15,men_total14,women_total14,FORCIB12,NONFOR12,men_total13,women_total13,FORCIB11,NONFOR11,men_total12,women_total12,FORCIB10,NONFOR10,men_total11,women_total11,FORCIB9,NONFOR9,men_total10,women_total10,FORCIB8,NONFOR8,men_total9,women_total9,FORCIB7,NONFOR7,men_total8,women_total8,FORCIB6,NONFOR6,men_total7,women_total7,FORCIB5,NONFOR5,TITLE9
6009,212771001.0,Gratz College,MELROSE PARK,PA,69.0,223.0,,,,,,,,,3.0,40.0,,,168.0,3.0,0.0,0.0,1964.0,800.0,0.0,0.0,659.0,829.0,0.0,0.0,1139.0,1406.0,1.0,0.0,2468.0,3907.0,0.0,0.0,1382.0,2329.0,0.0,0.0,967.0,1684.0,0.0,0.0,
601,114789001.0,Fresno City College,FRESNO,CA,10675.0,12022.0,,,,,,,,,4246.0,4887.0,,,1679.0,1015.0,,,1.0,74.0,,,107.0,254.0,,,473.0,979.0,,,717.0,234.0,,,691.0,210.0,,,107.0,211.0,,,
6010,212832001.0,Gwynedd Mercy University,Gwynedd Valley,PA,619.0,1963.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1258.0,1932.0,3.0,0.0,172.0,12.0,,,207.0,8.0,0.0,0.0,5.0,22.0,0.0,0.0,579.0,735.0,0.0,0.0,5434.0,8558.0,3.0,0.0,1382.0,2329.0,,,2683.0,5396.0,,,
6011,212832002.0,Gwynedd Mercy University,Philadelphia,PA,619.0,1963.0,,,,,,,,,1.0,59.0,,,102.0,52.0,,,1.0,44.0,,,75.0,189.0,,,19607.0,24493.0,0.0,0.0,573.0,1689.0,0.0,0.0,856.0,1708.0,0.0,0.0,726.0,736.0,0.0,0.0,
6012,212832003.0,Gwynedd Mercy University,East Norriton,PA,619.0,1963.0,1.0,0.0,1.0,,0.0,,0.0,,798.0,2119.0,0.0,0.0,783.0,813.0,4.0,0.0,2040.0,2632.0,2.0,0.0,1218.0,1289.0,0.0,0.0,19607.0,24493.0,,,818.0,1390.0,0.0,0.0,2648.0,5010.0,0.0,0.0,51.0,246.0,,,
6013,212832004.0,Gwynedd Mercy University,Bensalem,PA,619.0,1963.0,0.0,0.0,,,,,,,5.0,110.0,0.0,0.0,513.0,491.0,0.0,0.0,2809.0,6060.0,1.0,0.0,2.0,151.0,,,19607.0,24493.0,,,2.0,140.0,,,19635.0,28534.0,,,5.0,77.0,,,
6014,212869001.0,Harcum College,Bryn Mawr,PA,293.0,1343.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,110.0,,,513.0,491.0,3.0,0.0,7109.0,10775.0,2.0,0.0,3797.0,6173.0,2.0,0.0,19607.0,24493.0,0.0,0.0,3962.0,5399.0,0.0,0.0,19635.0,28534.0,0.0,0.0,,,0.0,0.0,
6015,212878001.0,Harrisburg Area Community College-Harrisburg,HARRISBURG,PA,6985.0,12136.0,0.0,0.0,,,,,,,57.0,131.0,1.0,0.0,240.0,28.0,0.0,0.0,7109.0,10775.0,,,576.0,469.0,,,19607.0,24493.0,,,3962.0,5399.0,,,19635.0,28534.0,,,,,,,
6016,212878002.0,Harrisburg Area Community College-Harrisburg,Lancaster,PA,6985.0,12136.0,0.0,0.0,0.0,,0.0,,0.0,,155.0,214.0,,,3.0,109.0,0.0,0.0,7109.0,10775.0,0.0,0.0,76.0,27.0,0.0,0.0,19607.0,24493.0,1.0,0.0,2575.0,3844.0,1.0,0.0,19635.0,28534.0,,,,,,,
6017,212878003.0,Harrisburg Area Community College-Harrisburg,York,PA,6985.0,12136.0,0.0,0.0,1.0,,0.0,,0.0,,957.0,996.0,,,3.0,109.0,,,7109.0,10775.0,,,89.0,557.0,,,19607.0,24493.0,,,3422.0,3236.0,,,19635.0,28534.0,,,,,,,
6018,212878004.0,Harrisburg Area Community College-Harrisburg,Lebanon,PA,6985.0,12136.0,7.0,0.0,,,,,,,6.0,165.0,9.0,0.0,5236.0,5460.0,3.0,0.0,7413.0,9038.0,5.0,0.0,0.0,65.0,0.0,0.0,19607.0,24493.0,0.0,0.0,1498.0,1888.0,0.0,0.0,19635.0,28534.0,1.0,0.0,2514.0,3513.0,1.0,0.0,
6019,212878005.0,Harrisburg Area Community College-Harrisburg,Gettysburg,PA,6985.0,12136.0,0.0,0.0,2.0,,0.0,,0.0,,621.0,659.0,0.0,0.0,7.0,69.0,0.0,0.0,7413.0,9038.0,,,132.0,65.0,,,19607.0,24493.0,,,1963.0,55.0,,,19635.0,28534.0,,,,,,,
